Temp,Humidity,Wind_Speed_km,date,Temp_bins,Humidity_bins,Wind_Speed_bins
289.99689089327956,62.83064516129032,11.490591397849462,March,Medium,Medium,Low
291.1697818004167,57.37222222222223,13.26736111111111,April,Medium,High,Low
290.85784740376346,69.73387096774194,11.301747311827958,May,Medium,Low,Low
294.3277974298611,64.08253184014053,7.700694444444445,June,Low,Medium,Low
295.76217228763437,62.473118279569896,8.801747311827958,July,Low,Medium,Low
294.8831492487903,64.86693548387096,9.68010752688172,August,Low,Medium,Low
294.31173275555557,56.51944444444444,7.447916666666667,September,Low,High,Medium
289.95475171505376,66.61827956989247,3.6868279569892475,October,Medium,Low,Medium
289.9146390011111,62.53611111111111,7.097916666666666,November,Medium,Medium,Medium
288.098028668414,62.094086021505376,8.643145161290322,December,High,Medium,Low
287.4406402777778,67.325,10.077777777777778,January,High,Low,Low
287.8491916691358,67.1820987654321,7.41820987654321,February,High,Low,Medium
290.9457139684722,69.55555555555556,11.68125,March,Medium,Low,Low
291.99617910043105,63.90804597701149,13.53807471264368,April,Medium,Medium,Low
291.7234027777778,71.24583333333334,12.547916666666667,May,Medium,Low,Low
294.1308667015805,72.46551724137932,11.508620689655173,June,Low,Low,Low
294.8992344538889,71.00694444444444,8.925694444444444,July,Low,Low,Low
294.8564012584722,70.13611111111112,7.672916666666667,August,Low,Low,Low
293.39386199525865,65.96420539730136,7.9382183908045985,September,Low,Low,Low
294.3760713486111,59.09867149758454,6.225694444444445,October,Low,High,Medium
291.7801794550287,62.9051724137931,5.8125,November,Medium,Medium,Medium
291.5122727272728,76.08333333333333,9.833333333333334,December,Medium,Low,Low
