datetime,Temp,Humidity,Wind_Speed,Temp_bins,Humidity_bins,Wind_Speed_bins
January,290.2162967355932,85.7457627118644,0.3389830508474576,Medium,Low,High
February,291.3595946069444,76.68055555555556,0.25,Medium,Low,High
March,292.60548611111113,67.66666666666667,0.4166666666666667,Low,Low,High
April,291.8976388888889,75.73611111111111,0.5,Medium,Low,High
May,291.23020833333334,71.11764705882354,0.5694444444444444,Medium,Low,High
June,293.0423611111111,59.65277777777778,0.9166666666666666,Low,High,Medium
July,292.00180555555556,64.5,0.2916666666666667,Medium,Medium,High
August,290.975,78.48611111111111,0.2361111111111111,Medium,Low,High
September,290.69090277777775,65.05555555555556,1.125,Medium,Medium,Medium
October,292.53686553030303,56.680311890838205,0.5625,Low,High,High
November,288.65244047619046,65.29531568228106,0.5793650793650794,High,Medium,High
December,285.06361079545457,60.90558766859345,0.7935606060606061,High,High,Medium
January,287.44770488346774,49.76510989010989,0.7889784946236559,High,High,High
February,287.92174848720236,54.54587155963303,0.7291666666666666,High,High,High
March,289.57997623198924,62.69209809264305,0.8938172043010753,High,Medium,Medium
April,290.40366770833333,59.72254335260116,0.8722222222222222,Medium,High,Medium
May,291.6718878807796,61.97961956521739,0.9368279569892473,Medium,High,Medium
June,292.0623834490278,64.7883008356546,0.7527777777777778,Medium,Medium,High
July,292.6968956092742,64.53629032258064,0.7647849462365591,Low,Medium,High
August,293.49209758077956,62.49324324324324,0.7701612903225806,Low,Medium,High
September,292.0156613197222,59.933240611961054,0.7486111111111111,Medium,High,High
October,288.7139865814516,62.392183288409704,0.7298387096774194,High,Medium,High
November,288.8854895543176,63.38664812239221,0.8861111111111111,High,Medium,Medium
December,288.79033252688174,46.57702702702703,0.8884408602150538,High,High,Medium
January,290.431009252957,53.14784946236559,0.8360215053763441,Medium,High,Medium
February,289.15730823943454,63.81791044776119,0.6116071428571429,High,Medium,High
March,289.37517123346777,64.31317204301075,0.6814516129032258,High,Medium,High
April,290.17041634833333,61.170833333333334,0.9125,Medium,High,Medium
May,292.5093706512097,59.00810810810811,0.8454301075268817,Low,High,Medium
June,292.1184592877778,65.83611111111111,0.6944444444444444,Low,Low,High
July,294.0079845134409,65.36290322580645,1.4153225806451613,Low,Low,Medium
August,293.5164761174731,61.92607526881721,0.581989247311828,Low,High,High
September,293.1682774859722,63.793055555555554,0.5805555555555556,Low,Medium,High
October,289.33571727029573,64.4245283018868,0.478494623655914,High,Medium,High
November,286.52806580833334,59.00277777777778,0.65,High,High,High
December,284.2947412627688,68.68817204301075,0.7379032258064516,High,Low,High
January,286.26185268494623,58.918010752688176,0.9556451612903226,High,High,Medium
February,286.6254657345238,64.00595238095238,0.90625,High,Medium,Medium
March,289.4850313446237,54.82661290322581,0.9381720430107527,High,High,Medium
April,288.1591037673611,58.59305555555556,1.0069444444444444,High,High,Medium
May,287.77246415497314,70.41397849462365,0.896505376344086,High,Low,Medium
June,293.00754884319446,65.00416666666666,1.073611111111111,Low,Medium,Medium
July,293.88425666787634,67.30913978494624,1.8709677419354838,Low,Low,Low
August,295.66531333481186,64.66666666666667,1.782258064516129,Low,Medium,Low
September,294.9101785423611,65.92222222222222,1.648611111111111,Low,Low,Low
October,292.70393104180107,61.22849462365591,1.5376344086021505,Low,High,Low
November,289.1917852305556,48.70375521557719,1.5375,High,High,Low
December,286.1797460083333,54.02425876010782,1.596774193548387,High,High,Low
January,288.13974420067206,67.03494623655914,1.586021505376344,High,Low,Low
February,290.3683224770115,61.410919540229884,1.6408045977011494,Medium,High,Low
March,289.99689089327956,62.83064516129032,2.056451612903226,Medium,Medium,Low
April,291.1697818004167,57.37222222222222,2.2194444444444446,Medium,High,Low
May,290.85784740376346,69.73387096774194,2.0806451612903225,Medium,Low,Low
June,294.3277974298611,64.25941422594143,1.4666666666666666,Low,Medium,Low
July,295.7621722876344,62.473118279569896,1.653225806451613,Low,Medium,Low
August,294.8831492487903,64.86693548387096,1.711021505376344,Low,Medium,Low
September,294.31173275555557,56.519444444444446,1.4166666666666667,Low,High,Medium
October,289.95475171505376,66.61827956989248,0.8104838709677419,Medium,Low,Medium
November,289.91463900111114,62.53611111111111,1.4444444444444444,Medium,Medium,Medium
December,288.098028668414,62.094086021505376,1.6693548387096775,High,Medium,Low
January,287.4406402777778,67.325,1.8916666666666666,High,Low,Low
February,287.8491916691358,67.1820987654321,1.4398148148148149,High,Low,Medium
March,290.9457139684722,69.55555555555556,2.0319444444444446,Medium,Low,Low
April,291.99617910043105,63.9080459770115,2.2916666666666665,Medium,Medium,Low
May,291.7234027777778,71.24583333333334,2.245833333333333,Medium,Low,Low
June,294.1308667015805,72.46551724137932,2.1005747126436782,Low,Low,Low
July,294.8992344538889,71.00694444444444,1.7277777777777779,Low,Low,Low
August,294.85640125847226,70.1361111111111,1.523611111111111,Low,Low,Low
September,293.3938619952586,65.96546762589928,1.5545977011494252,Low,Low,Low
October,294.3760713486111,59.139082058414466,1.3138888888888889,Low,High,Medium
November,291.67253328484395,63.141158989598814,1.236255572065379,Medium,Medium,Medium
December,291.5122727272728,76.08333333333333,1.8636363636363635,Medium,Low,Low
